species_id	representative	MGnify_accession	species_closest	ani_closest	gtpro_kmer_counts	phyeco_marker_counts	phyeco_pass_ratio	pangene_counts	genome_counts	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	Lineage	Continent
100063	GUT_GENOME000246	MGYG-HGUT-00063	102195	85.2025	NA	15	1	4117	1	Isolate	4293327	28	393000	45.12	100	0.71	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Emergencia;s__Emergencia sp900066695	Europe
100064	GUT_GENOME000248	MGYG-HGUT-00064	103114	78.0035	NA	14	1	11520	12	Isolate	3139906	58	382368	28.1	99.19	1.61	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium baratii	Europe
100065	GUT_GENOME000250	MGYG-HGUT-00065	100028	90.8584	NA	15	0.8	6811	14	Isolate	3036060	98	90384	37.68	99.33	2.68	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp900066705	Europe
100066	GUT_GENOME000259	MGYG-HGUT-00066	100095	87.6805	NA	15	1	5051	1	Isolate	5871584	158	63820	48.78	100	3.64	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755;s__GCA-900066755 sp900066755	Europe
100067	GUT_GENOME000260	MGYG-HGUT-00067	100038	81.8648	NA	15	1	5543	5	Isolate	3710127	83	93953	43.66	95.32	0.58	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea sp900066765	Europe
100068	GUT_GENOME000266	MGYG-HGUT-00068	103909	82.0395	NA	15	0.933333333333333	4052	6	Isolate	2991480	79	87344	57.1	99.33	0.34	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum sp900291975	Europe
100069	GUT_GENOME000268	MGYG-HGUT-00069	103872	82.4869	59680	15	1	43075	281	Isolate	3099119	57	237914	50.04	99.33	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_A;s__Clostridium_A leptum	Europe
100070	GUT_GENOME000269	MGYG-HGUT-00070	100086	92.1753	23650	15	1	22570	106	Isolate	3806758	87	101351	57.2	97.99	0.13	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066825	Europe
100071	GUT_GENOME000271	MGYG-HGUT-00071	100178	80.7873	NA	15	1	7285	3	Isolate	3913693	111	78897	59.52	96.31	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor;s__Pseudoflavonifractor capillosus	Europe
100072	GUT_GENOME000272	MGYG-HGUT-00072	104471	78.3576	44539	15	1	33356	182	Isolate	2648819	158	100166	37.01	98.66	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1394;s__UBA1394 sp900066845	Europe
100073	GUT_GENOME000279	MGYG-HGUT-00073	NA	NA	NA	15	1	2443	1	Isolate	2615708	20	268821	56.68	99.19	0.81	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__GCA-900066905;g__GCA-900066905;s__GCA-900066905 sp900066905	Europe
100074	GUT_GENOME000285	MGYG-HGUT-00074	102592	84.63545	5114	15	1	161101	2060	Isolate	3211677	23	196596	58.21	99.28	0.48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	Europe
100075	GUT_GENOME000290	MGYG-HGUT-00075	100157	85.32035	NA	15	1	3509	3	Isolate	3140667	70	369043	27	99.3	0.23	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066935;s__GCA-900066935 sp900066925	Europe
100076	GUT_GENOME000295	MGYG-HGUT-00076	100546	90.9111	3491	15	1	170169	1054	Isolate	4318254	115	95257	42.41	98.55	0.41	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	Europe
100077	GUT_GENOME000299	MGYG-HGUT-00077	100262	86.4811	38924	15	1	47456	85	Isolate	3184580	61	102284	37.92	100	1.34	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_E;s__Eubacterium_E hallii_A	Europe
100078	GUT_GENOME000308	MGYG-HGUT-00078	102580	84.03945	5551	15	1	114736	1860	Isolate	3032540	30	267346	36.51	98.66	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae	Europe
100079	GUT_GENOME000319	MGYG-HGUT-00079	100264	81.00435	NA	15	1	2958	1	Isolate	2825536	127	51434	47.85	99.34	0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium;s__	Europe
100080	GUT_GENOME000327	MGYG-HGUT-00080	100052	91.5174	39381	15	0.933333333333333	10822	45	Isolate	3256203	17	407399	44.35	99.33	4.03	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes caccae	Europe
100081	GUT_GENOME000330	MGYG-HGUT-00081	101049	74.37145	NA	15	1	2283	1	Isolate	2502899	24	215262	56.53	99.67	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium propinquum	Europe
100082	GUT_GENOME000337	MGYG-HGUT-00082	102342	83.85905	NA	15	1	5441	2	Isolate	3378582	129	80144	42.69	99.93	0.13	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter fasciculus	Europe
100083	GUT_GENOME000338	MGYG-HGUT-00083	103321	74.489	NA	15	1	5703	1	Isolate	5860216	44	632220	39.6	98.63	3.81	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_A;g__Bacillus_X;s__Bacillus_X simplex	Europe
100084	GUT_GENOME000367	MGYG-HGUT-00084	101157	86.9657	13190	15	1	449774	2166	Isolate	3006478	45	98955	58.23	97.28	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	Europe
100085	GUT_GENOME000396	MGYG-HGUT-00085	103707	94.9267	NA	15	1	303446	546	Isolate	2097125	50	106906	59.94	100	0.81	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_F	Europe
100086	GUT_GENOME000420	MGYG-HGUT-00086	100070	92.1753	26758	15	0.8	11355	19	Isolate	3340121	155	59382	59.05	98.66	0.67	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	Europe
100087	GUT_GENOME000423	MGYG-HGUT-00087	100255	79.0551	91631	15	1	39510	210	Isolate	3392090	124	70303	51.89	98.73	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp000435795	Europe
100088	GUT_GENOME000432	MGYG-HGUT-00088	101308	93.4286	13444	15	1	10358	166	Isolate	1947459	51	87267	37.53	100	0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	Europe
100089	GUT_GENOME000448	MGYG-HGUT-00089	100424	80.41945	103969	15	1	91630	500	Isolate	3052732	30	473238	46.51	97.99	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-353;s__CAG-353 sp900066885	Europe
100090	GUT_GENOME000459	MGYG-HGUT-00090	103903	91.56815	NA	15	1	19882	29	Isolate	3325509	112	88438	57.88	99.33	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	Europe
100091	GUT_GENOME000469	MGYG-HGUT-00091	102436	78.7108	NA	15	1	6186	4	Isolate	6684283	23	710199	67.55	99.53	0.47	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter xylosoxidans	Europe
100092	GUT_GENOME000479	MGYG-HGUT-00092	100137	82.3836	NA	15	1	12139	22	Isolate	3773898	64	227761	48.29	99.37	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7160;s__	Europe
